trip\01\00009.wav=Adam, @20356
trip\04\01512.wav=spiced walnut...@454808
trip\04\01513.wav=marinated greens...@455008
trip\04\01514.wav=baked radicchio...@455212
trip\04\01515.wav=norwegian salmon...@455420
trip\04\01516.wav=pepper honey...@455604
trip\04\01517.wav=stuffed crab...@455780
trip\04\01518.wav=truffle oil vinaigrette...@455980
trip\04\01519.wav=seared ahi...@456192
trip\04\01520.wav=anchovy caper...@456364
trip\04\01521.wav=portabella mushroom...@456568
trip\04\01522.wav=tarragon...@456760
trip\04\01523.wav=uh, cranberry salsa...@456940
trip\04\01524.wav=balsamic vinegar...@457164
trip\04\01525.wav=thingies... on those fancy crackers?  You know, from our last party... honey?@457488
trip\04\01526.wav=Heh heh, Grace is a whiz with hors doeurves.  You should, uh, see what she can do with melon balls.@458096
trip\04\01527.wav=Grace, uh, has a passion for hors doeurves, uh...  uh... If -- if it fits on a cracker, Grace will put it there.@458804
trip\04\01528.wav=Grace makes the most amazing hors doeurves, heh... uh...  As good as her mom used to make.@459536
trip\04\01529.wav=Uhh, jesus... @459996
trip\04\01530.wav=Uhh... boy... @460140
trip\04\01531.wav=Heh... this is nothing... we -- we -- we're just... she's... @460384
trip\04\01532.wav=Look, don't pay any attention to this... this... it's nothing...  uhh...@460860
trip\04\01533.wav=I -- I hope you don't think... mmm... there's... there's nothing... heh...@461348
trip\04\01534.wav=We're fine, you know, we -- we're fine, this -- this is just... @461856
trip\04\01535.wav=Oh, uh, Grace has been kind of stressed out lately, with work, and, and, and I try to give her advice, but, um...@462452
trip\04\01536.wav=Uh, heh heh, Grace has been really, stressed out lately, I try to calm her down and get her to relax, but... uhh...@463232
trip\04\01537.wav=Uh, heh, Grace has been feeling, I don't know, overwhelmed or something lately, even though I keep trying to make her feel better...@464048
trip\04\01538.wav=Heh heh, Grace is still, I don't know, adjusting to life in an apartment, and uh, she grew up in a big house, you know, so, heh...@464940
trip\04\01539.wav=Uh, heh heh, Grace has been feeling, I don't know, like, always wanting more, and more, and, and I'm not sure what it is... heh heh...@465828
trip\04\01540.wav=Heh, we've been a little stressed out lately, with our -- with our new work project, and Grace's redecorating, and all the parties, ugh...@466772
trip\04\01541.wav=Uh, heh heh, I'm always trying to give us the best stuff, you know, but she doesn't, she'd, she doesn't, I don't know...@467676
trip\04\01542.wav=Heh heh heh, heh, I've been travelling a bit, you know, heh, for business, and maybe we haven't spent enough time together lately, I don't, um, I don't know...@468584
trip\04\01543.wav=Heh heh heh, well, we've been a little stressed out lately, she just, she needs to, I mean, we need to, you know, just, uh, you know...@469588
trip\04\01544.wav=Heh heh, well we've been a little stressed out lately, I don't know why she's just, I mean, we can't, we can't, I just, you know, just, I don't know...@470548
trip\04\01545.wav=Yes?@471240
trip\04\01546.wav=What?@471352
trip\04\01547.wav=Yes, what?@471472
trip\04\01548.wav=uhh...@471592
trip\04\01549.wav=Wait, @471704
trip\04\01550.wav=where -- where are you going?@471856
trip\04\01551.wav=Well, I'm sorry that we're all having this... misunderstanding... tonight.@472224
trip\04\01552.wav=Yeah, well, I wish we weren't having this... uh... misunderstanding... tonight... heh...@472772
trip\04\01553.wav=Uhh, Jesus, why are we all having this... misunderstanding... tonight... uhh... @473368
trip\04\01554.wav=Oh... uhh... that's nice of you... huh... you know, this is all just a big miscommunication... uhh...@473972
trip\04\01555.wav=what are you trying to do, get me in trouble?  @474572
trip\04\01556.wav=jesus, you're going to get me in big trouble!  @474960
trip\04\01557.wav=come on, don't get me in more trouble than I already am!@475384
trip\04\01558.wav=Grace is right in the other room!@475760
trip\04\01559.wav=Grace could come back any second!@476060
trip\04\01560.wav=Grace might be able to hear you!@476348
trip\04\01561.wav=Oh, well, that... uh...@476584
trip\04\01562.wav=um... uh...@476764
trip\04\01563.wav=wha... you... eh... uh...@476908
trip\04\01564.wav=Um... well... uh....@477108
trip\04\01565.wav=Gr -- Grace, honey, did you find the prosciutto?@477368
trip\04\01566.wav=Gr -- Grace, honey, did you find the crackers?@477728
trip\04\01567.wav=Did you find the prosciutto?@478060
trip\04\01568.wav=Did you find the crackers?@478308
trip\04\01569.wav=Never mind!   @478516
trip\04\01570.wav=That's the problem with this goddamn apartment, lousy acoustics.@478840
trip\04\01571.wav=And then Grace buys all of this ridiculously expensive furniture that just sucks up your voice when you're talking.  @479468
trip\04\01572.wav=I feel like someone's muffling me when I sit on her new couch.@480168
trip\04\01573.wav=All Grace has to do is stand ten feet away and then I can't hear half the words she's saying.@480720
trip\04\01574.wav=I don't know what the problem is.  Drives me crazy.@481292
trip\04\01575.wav=um...@481580
trip\04\01576.wav=Jesus, what was that?@481732
trip\04\01577.wav=Grace, what happened?@481936
trip\04\01578.wav=What happened?@482128
trip\04\01579.wav=Oh, god, I hope that didn't break, that thing is a life saver.@482392
trip\04\01580.wav=Oh, god, I hope that didn't break, we can't get through a week without that.@482884
trip\04\01581.wav=Grace turns into a real klutz when she's angry.@483384
trip\04\01582.wav=Uhh!  Heh!  You... wha... oh... heh heh...@483684
trip\04\01583.wav=Uhh!  You -- you... wha... ah... heh...@483964
trip\04\01584.wav=Hey -- hey, uh...@484208
trip\04\01585.wav=I meant to tell you, we're going to have this big, big party next weekend.@484556
trip\04\01586.wav=Do you -- do you think you can make it?  @485032
trip\04\01587.wav=It's gonna be great.@485328
trip\04\01588.wav=Oh, um...@485496
trip\04\01589.wav=Oh!  uh, heh heh, hey... um...@485636
trip\04\01590.wav=Sweet...@485848
trip\04\01591.wav=Hey, hey, uh -- why don't you, um... invite that woman in accounting you were telling me about... um...@486160
trip\04\01592.wav=What was her name... @486688
trip\04\01593.wav=Veronica?@486872
trip\04\01594.wav=Vivian?@487008
trip\04\01595.wav=Vanessa?@487136
trip\04\01596.wav=Uhh... Oh!  Uh, it's, uh, she -- she -- she's a, she -- she's this interesting woman that, uh, our friend works with.@487456
trip\04\01597.wav=She's, uh... into what, skydiving... or was it scuba diving...?@488136
trip\04\01598.wav=What?  Grace, honey, you know, we're always trying to invite new people to our parties, keep things fresh...@488708
trip\04\01599.wav=um...@489232
trip\04\01600.wav=Grace...@489340
trip\04\01601.wav=Oh, hmm, mmm, maybe someone else told me about that... um...@489576
trip\04\01602.wav=No, Grace, no, everything's fine, we didn't talk about anything.@490052
trip\04\01603.wav=What was that?@490420
trip\04\01604.wav=Never mind... I can't find the brie.  Where did you hide it?@490688
trip\04\01605.wav=What?!  Grace, I specifically asked you to buy brie!@491124
trip\04\01606.wav=Jesus, do you just not hear me when I talk to you?  Just this morning I asked you to buy brie!@491648
trip\04\01607.wav=No, okay, okay, it's okay, it -- it's fine, it's fine... @492220
trip\04\01608.wav=What was that?@492560
trip\04\01609.wav=Something's been going on in here... @492764
trip\04\01610.wav=Something's been happening in here... @493060
trip\04\01611.wav=God, it's turning into a little love-fest in here.@493416
trip\04\01612.wav=God, it's all so touchy-feely in here.@493788
trip\04\01613.wav=Nothing, I just hope you two enjoyed a little alone time together... @494176
trip\04\01614.wav=Nothing, I'm just glad you two had some quality time... @494664
trip\04\01615.wav=Anyway... our Norwegian cheese slicer is in the dishwasher, and I didn't feel like hand washing it, so...@495220
trip\04\01616.wav=Anyway... I was going to bring out some pesto infused sun dried tomatoes, but they need to marinate a little longer, so...@496032
trip\04\01617.wav=Anyway... I was going to bring out some goat cheese, but we're out of pine nuts, so...@496796
trip\04\01618.wav=God!  What have you two been talking about in here?@497332
trip\04\01619.wav=Maybe I should have stayed in the kitchen.@497712
trip\04\01620.wav=Uhh, God!  What the hell has been going on in here?@498064
trip\04\01621.wav=Heh... should I just go back to the kitchen?@498444
trip\04\01622.wav=Alright...@498716
trip\04\01623.wav=Grace, what are you saying in there?@498904
trip\04\01624.wav=What?@499136
trip\04\01625.wav=Yeah, yeah, everything's fine!@499292
trip\04\01626.wav=Christ, what the hell is going on...@499568
trip\04\01627.wav=Jesus, what in the hell is going on tonight...@499900
trip\04\01628.wav=Why is this happening tonight?@500236
trip\04\01629.wav=Why does this have to happen tonight?@500524
trip\04\01630.wav=What?  Oh...  @500764
trip\04\01631.wav=I... uhh...@500904
trip\04\01632.wav=What?  Oh...  @501040
trip\04\01633.wav=I...  uhh...@501180
trip\04\01634.wav=Okay, maybe just now you were just trying to be nice... or something... I don't know... @501488
trip\04\01635.wav=Maybe just now you meant well, I don't know... but... @502040
trip\04\01636.wav=Look, you didn't have to follow me in here... @502440
trip\04\01637.wav=You say these things and then you follow me in here...  heh, heh... okay... @502832
trip\04\01638.wav=I can't believe you've followed me in here, after all that... @503340
trip\04\01639.wav=Look, what you've said, tonight, you probably think...@503780
trip\04\01640.wav=Look, the things you've said tonight, maybe you're trying to say...@504212
trip\04\01641.wav=that... mmm... my advice to Grace isn't really helping her or something... that she thinks I'm bossing her around, or...@504808
trip\04\01642.wav=that my attempts to help Grace are... I don't know... making her avoid me... or something...@505568
trip\04\01643.wav=that I'm trying to make Grace feel better, but it's... mmm... it's making her feel worse... or something...@506228
trip\04\01644.wav=that Grace is... mmm... that she needs to feel... privileged... you know, how she grew up in a rich house and all that...@506976
trip\04\01645.wav=that Grace just keeps wanting... more... and more, of something... like I don't even know what...@507760
trip\04\01646.wav=that we've been a little stressed out lately, with our new work project, and Grace's redecorating, and all the parties...@508520
trip\04\01647.wav=that obviously I'm trying to give Grace all the best stuff money can buy, that but... she's just not... she's not...@509360
trip\04\01648.wav=that maybe that I'm traveling... too much, and I'm distracted... somehow... by all the traveling, or...@510136
trip\04\01649.wav=that we've been really stressed out lately, or something, and that she just needs to... @510828
trip\04\01650.wav=I mean, we just need... ah, I don't know...@511348
trip\04\01651.wav=that we need to... somehow... just agree on something, for once... I mean, just... uhh, agree...@511800
trip\04\01652.wav=What? uhh...  Nothing, Grace, nothing!@512320
trip\04\01653.wav=Jesus.   Nothing!  I'm coming!@512608
trip\04\01654.wav=Hey, look, let's just go back.@512880
trip\04\01655.wav=No problem, Grace, everything's hunky dory.@513176
trip\04\01656.wav=uhh... this is... @513448
trip\04\01657.wav=I... @513600
trip\04\01658.wav=I have to go back to the living room.@513780
trip\04\01659.wav=I...  @514008
trip\04\01660.wav=I'm... @514116
trip\04\01661.wav=I have to go back to the living room.@514304
trip\04\01662.wav=Uhh... you know what, this is not really what I want to hear right now... @514676
trip\04\01663.wav=let's just go back to the living room.@515144
trip\04\01664.wav=Uhh... okay, look, I -- I don't need to get any more worked up right now... @515520
trip\04\01665.wav=so let's just go back into the living room, okay?@516024
trip\04\01666.wav=You came in here to tell me this?  Uhh...@516384
trip\04\01667.wav=Is this why you came in here, to tell me this?  Uhh...@516740
trip\04\01668.wav=Uh, alright, alright, everything's alright, heh, let's just... let's just go back into the living room...@517260
trip\04\01669.wav=Everything's alright...@517800
trip\04\01670.wav=Yeah, it's in your blood, you grew up with this stuff.@518092
trip\04\01671.wav=Grace, come on, what are you talking about?@518476
trip\04\01672.wav=I love this style, I feel like I'm inside one of your ads, it's great!@518908
trip\04\01673.wav=Oh come on!@519304
trip\04\01674.wav=Jesus why can't you just be happy with this?  This is fine!@519576
trip\04\01675.wav=Oh my God.@519920
trip\04\01676.wav=I love it, this is a really exclusive couch, very few people own this couch!@520240
trip\04\01677.wav=Oh come on, a little love seat?!  @520708
trip\04\01678.wav=I love it, this is a really exclusive armoire, very few people own this armoire!@521124
trip\04\01679.wav=Oh yeah, yeah, everybody always says how much they love Grace's sculptures!@521700
trip\04\01680.wav=Jesus why can't you just be happy with them?  They're fine!@522212
trip\04\01681.wav=Oh yeah, yeah, it's the first thing everyone notices when they come in!@522684
trip\04\01682.wav=Yeah Grace was the highest bidder at an auction for this!@523180
trip\04\01683.wav=Yeah, I love this view, it makes me feel like a million bucks!@523648
trip\04\01684.wav=I love this furniture, some of this is really exclusive stuff, very few people own this stuff!@524220
trip\04\01685.wav=See, try to understand, even after a full day's work designing magazine ads,@524856
trip\04\01686.wav=Grace somehow finds the time to decorate and and and and redecorate -- @525424
trip\04\01687.wav=No, no no no no no, you've got to understand, Grace loves expensive furniture, she was totally spoiled growing up,@526084
trip\04\01688.wav=you should see the inside of her parents house.@526720
trip\04\01689.wav=Ah, right, right, @527020
trip\04\01690.wav=of course you like it!@527220
trip\04\01691.wav=See Grace you have no reason to complain -- there's just nothing to complain about.@527584
trip\04\01692.wav=Grace, everything's fine, no one is complaining about your decorating!  @528156
trip\04\01693.wav=Uhh, Grace, come on, people like it, you're the only one --@528656
trip\04\01694.wav=You're never happy... @529012
trip\04\01695.wav=No one has a problem with your decorating but you.@529296
trip\04\01696.wav=Uhh, let's not talk about the damn decorating anymore...@529700
trip\04\01697.wav=Uhh, it's just decorating for Christ's sake, you're turning this into some big issue --@530192
trip\04\01698.wav=Yeah and with our income cut in half, we'd be living in some basement apartment in Queens, as if you could ever handle that...@530936
trip\04\01699.wav=Well, well, I was right Grace, you're the only one unhappy with your decorating --@531708
trip\04\01700.wav=Grace, you're good at it, you're so good at it!@532220
trip\04\01701.wav=It's just like your job, you design great magazine ads!  @532644
trip\04\01702.wav=I keep telling her that, she never listens.@533040
trip\04\01703.wav=wait, Grace, nothing's wrong, everything's fine!@533380
trip\04\01704.wav=no, Grace, nothing's wrong, everything's fine!@533736
trip\04\01705.wav=Grace, nothing's wrong, everything's fine!@534076
trip\04\01706.wav=Yeah, uh, no, uh the decorating is fine, heh!@534400
trip\04\01707.wav=N - no, uh, see -- the decorating is fine!@534732
trip\04\01708.wav=Wait -- see -- the decorating is fine!@535048
trip\04\01709.wav=yeah, heh, Grace, you're so good at decorating!@535364
trip\04\01710.wav=no, Grace, you're so good at decorating!@535712
trip\04\01711.wav=uhh, Grace, you're so good at decorating!@536028
trip\04\01712.wav=Yeah, no, see, she never listens!@536336
trip\04\01713.wav=No, no no no, see, she never listens!@536628
trip\04\01714.wav=No, see, she never listens!@536912
trip\04\01715.wav=Well, yeah, it's great, everybody loves it when they come in and see our latest decoration scheme!@537344
trip\04\01716.wav=Grace --@537824
trip\04\01717.wav=Grace, no, no, don't say that!@537997
trip\04\01718.wav=This style make me feel like I'm inside one of your ads, it's great!@538368
trip\04\01719.wav=Not coming together... what?@538776
trip\04\01720.wav=Grace... come on!@538996
trip\04\01721.wav=This is a really exclusive couch, very few people own this couch...@539312
trip\04\01722.wav=A little love seat... what?@539716
trip\04\01723.wav=This is a really exclusive armoire, very few people own this armoire.@540072
trip\04\01724.wav=A monstrosity... what?@540480
trip\04\01725.wav=Everybody always says how much they love Grace's sculptures.@540796
trip\04\01726.wav=Revolting...? what?@541152
trip\04\01727.wav=It's the first thing everyone notices when they come in.@541444
trip\04\01728.wav=Doesn't go...? what?@541788
trip\04\01729.wav=Grace was the highest bidder at an auction for this.@542072
trip\04\01730.wav=Tacky...? what?@542384
trip\04\01731.wav=This view makes me feel like a million bucks.@542644
trip\04\01732.wav=Trees...? what?@542924
trip\04\01733.wav=This furniture is really exclusive stuff, very few people own this stuff.@543252
trip\04\01734.wav=Don't go together... what?@543676
trip\04\01735.wav=Well, you have to appreciate how after a full day's work designing magazine ads, Grace can find the time to redecorate -- @544148
trip\04\01736.wav=No no, no no, see, Grace loves expensive furniture, she...@544848
trip\04\01737.wav=grew up in this really nice house, with really nice couches and fancy dishes, and, and she can't live without this stuff.@545464
trip\04\01739.wav=Ah, yeah, @546340
trip\04\01740.wav=I knew you'd like it.  @546508
trip\04\01741.wav=See Grace you don't realize how good this all looks -- and, and how good you look!@546868
trip\04\01742.wav=Grace, everything's fine!  No one is complaining about your decorating --@547436
trip\04\01743.wav=Grace, listen to me, people like your decorating, you're the only one who feels this way!@548012
trip\04\01744.wav=You're good at decorating, trust yourself.@548552
trip\04\01745.wav=Wait! Grace, I don't know where you're getting this --@548908
trip\04\01746.wav=Oh, yeah, we've seen how your artist friends live, as if you could survive that kind of lifestyle!  Give me a break!@549484
trip\04\01747.wav=Uhh, let's not talk about the damn decorating anymore...@550152
trip\04\01748.wav=Aha, I knew it, I was right Grace, you're the only one unhappy with your decorating --@550656
trip\04\01749.wav=Grace, come on, you're so good at it!  @551164
trip\04\01750.wav=Just like you're good at your job -- you design great magazine ads!  Can't you see that?@551620
trip\04\01751.wav=You should stick with what you're good at.  Trust me on this.@552192
trip\04\01752.wav=yeah, see, Grace, nothing's wrong, everything's fine!@552608
trip\04\01753.wav=no, see, Grace, nothing's wrong, everything's fine!@552992
trip\04\01754.wav=uhh, see, Grace, nothing's wrong, everything's fine!@553364
trip\04\01755.wav=Yeah, no, Grace, you're so good at decorating!@553740
trip\04\01756.wav=No, no, Grace, you're so good at decorating!@554092
trip\04\01757.wav=Wait, uhh, Grace, you're so good at decorating!@554436
trip\04\01758.wav=I -- I want you to look at this photo from our recent trip to Italy...@554880
trip\04\01759.wav=Grace, just because you don't like it, doesn't mean our friend won't...@555404
trip\04\01760.wav=I was saying that there's this picture from our recent trip to Italy.@555932
trip\04\01761.wav=Yeah, yeah, look at this photo from our recent trip to Italy...@556440
trip\04\01762.wav=So, come on, I -- I want you to look at this!@556884
trip\04\01763.wav=come on, just take a look at this picture!@557256
trip\04\01764.wav=Grace...!!!@557512
trip\04\01765.wav=Now, now, @557648
trip\04\01766.wav=in one word, what does this picture make you think of?@557904
trip\04\01767.wav=Grace wasn't with me when I took this picture, she was sulking in the hotel room.@558400
trip\04\01768.wav=In a -- in a -- in a word, a single word, what does this say to you?@558944
trip\04\01769.wav=Just -- just -- just try to think of one word...@559392
trip\04\01770.wav=Christ! I take her to Italy to see the art she supposedly likes, and she calls me oppressive.@559892
trip\04\01771.wav=Christ! I take her to Italy to see the art she supposedly likes, and she calls me suffocating.@560580
trip\04\01772.wav=Just one word for this.@561100
trip\04\01773.wav=No, no, that's not it --@561320
trip\04\01774.wav=No, no...  @561516
trip\04\01775.wav=take another look,  this says... what.@561712
trip\04\01776.wav=Think, think, what does this say to you?@562032
trip\04\01777.wav=Well, the thing is, you see, this trip to Italy... it was our second honeymoon!@562448
trip\04\01778.wav=Goddammit, I was trying to find a way for us to spend some time together!@563024
trip\04\01779.wav=So! In a word, this says...@563452
trip\04\01780.wav=Romance!  It says... romance...!@563704
trip\04\01781.wav=Dammit, Grace, I was trying to give us a romantic weekend in Europe together!@564104
trip\04\01782.wav=I'm not obsessed with Europe... I --@564568
trip\04\01783.wav=What?  Who is this?@564824
trip\04\01784.wav=Oh, okay...@564992
trip\04\01785.wav=It's not like there was tons of art we could have seen in Italy, if you had just left the hotel room...@565368
trip\04\01786.wav=Yes, that's it!  Love!  Romance!  I knew you'd guess it!@565972
trip\04\01787.wav=Uh!  Everything in Italy was so romantic... the scenery, the food, the wine... oh, and the art!  The art!  Isn't that right Grace?@566584
trip\04\01789.wav=Goddammit, Grace, this was supposed to be our second honeymoon!@567756
trip\04\01790.wav=Jesus, I was trying to find a way for us to spend some time together!@568276
trip\04\01791.wav=uhh!!!!@568632
trip\04\01792.wav=Romance...! it says... romance...!@568804
trip\04\01793.wav=Y -- y - yeah uh, uh, come take a look!@569080
trip\04\01794.wav=N -- no, no, uh, come take a look!@569376
trip\04\01795.wav=W -- well, um, come take a look!@569652
trip\04\01796.wav=N -- no, no, heh -- w -- wait...@569896
trip\04\01797.wav=Y -- yeah -- w -- wait...@570128
trip\04\01798.wav=W -- w - well, uh -- wait...@570340
trip\04\01799.wav=Y -- yeah, yeah, uh, our -- our second honeymoon picture says...@570644
trip\04\01800.wav=N -- no, no, uh, heh, our -- our second honeymoon picture says...@571096
trip\04\01801.wav=S -- so, uh, our -- our second honeymoon picture says...@571540
trip\04\01802.wav=Y - yeah -- uh, no, uh -- it was supposed to be romantic!@571960
trip\04\01803.wav=N - no -- wait -- uhh, it was supposed to be romantic!@572384
trip\04\01804.wav=Wait wait wait -- see -- it was supposed to be romantic!@572812
trip\04\01805.wav=Y - yeah -- n - no, uhh -- she wouldn't leave the hotel room!@573220
trip\04\01806.wav=N - no -- uhh, see -- she wouldn't leave the hotel room!@573644
trip\04\01807.wav=Wait, uhh -- see -- she wouldn't leave the hotel room!@574048
trip\04\01808.wav=Yeah, uhh -- no, uhh -- I just wanted us to spend time together!@574476
trip\04\01809.wav=No, uhh -- see -- I, I -- I just wanted us to spend time together!@574948
trip\04\01810.wav=Wait -- see -- I just wanted to spend time together!@575412
trip\04\01811.wav=Y- yeah -- n - no, uhh, uh -- it was supposed to be romantic!@575820
trip\04\01812.wav=No -- wait -- it - it was supposed to be romantic!@576260
trip\04\01813.wav=Wait -- see -- it was supposed to be romantic!@576648
trip\04\01814.wav=Oh, @576912
trip\04\01815.wav=I thought you might like this photo I just put up from our recent trip to Italy.@577220
trip\04\01816.wav=Grace, I know you don't like it, but our friend might.@577732
trip\04\01817.wav=I was saying that there's this picture from our recent trip to Italy.@578200
trip\04\01818.wav=Oh yeah, @578564
trip\04\01819.wav=Come take look at this!@578748
trip\04\01820.wav=Come on, you'll like this, check it out!@579016
trip\04\01821.wav=Um...  uhh, Now, @579272
trip\04\01822.wav=in one word, what does this picture say to you?@579544
trip\04\01823.wav=Grace stayed behind in the hotel room when I was out taking this picture, so...@579996
trip\04\01824.wav=N -- No, I just want one word...@580456
trip\04\01825.wav=God, I want us to go see the Italian art she likes, so I'm controlling.@580848
trip\04\01826.wav=God, I want us to go see the Italian art she likes, and so I'm domineering.@581412
trip\04\01827.wav=Just one word for this.@581848
trip\04\01828.wav=Mmm... no...@582040
trip\04\01829.wav=No just take a look,  this says...@582248
trip\04\01830.wav=Come on, in one word, what does this say to you?@582576
trip\04\01831.wav=Well, actually, this trip to Italy was meant to be our second honeymoon!@583040
trip\04\01832.wav=Grace, I wanted us to spend some time together...!@583532
trip\04\01833.wav=So in a word, this says...@583860
trip\04\01834.wav=Romance!  No it says... romance...!@584124
trip\04\01835.wav=Grace, it'd been such a long time since we'd... had a chance to --@584484
trip\04\01836.wav=What?@584836
trip\04\01837.wav=Okay, I'm really sorry I dragged you off to Italy, Grace.@585060
trip\04\01838.wav=Right!  Love!  Romance!@585420
trip\04\01839.wav=Grace...!@585600
trip\04\01840.wav=this trip to Italy was meant to be our second honeymoon.@585864
trip\04\01841.wav=uhh...@586168
trip\04\01842.wav=Yeah -- no -- I, I just -- I just wanted us to spend time together!@586420
trip\04\01843.wav=No, no -- see, no -- I - I just wanted us to spend time together!@586912
trip\04\01844.wav=Wait, wait -- see, see -- I just wanted us to spend time together!@587400
trip\04\01845.wav=Y - yeah, uh -- no, n - no -- I just -- I just wanted us to spend time together!@587908
trip\04\01846.wav=No, n - no -- I just -- I just wanted us to spend time together!@588456
trip\04\01847.wav=Wait wait wait -- see, uh -- I just wanted us to spend time together!@588948
trip\04\01848.wav=Ah, @589304
trip\04\01849.wav=what we really need here... @589452
trip\04\01850.wav=are some drinks!@589688
trip\04\01851.wav=are some more drinks!@589888
trip\04\01852.wav=You know what?  It's about time... @590116
trip\04\01853.wav=I fix us some drinks!@590400
trip\04\01854.wav=I fix us some more drinks!@590640
trip\04\01855.wav=Ah, yes, @590836
trip\04\01856.wav=Yes, it's about time... @591000
trip\04\01857.wav=So, yes, let me fix us some drinks.@591268
trip\04\01858.wav=So, yes, let me fix us some more drinks.@591592
trip\04\01859.wav=You know, everybody should believe in something -- and I believe we should have another drink.@592044
trip\04\01860.wav=When it comes to drinking, I -- I generally avoid temptation heh unless I can't resist it.@592720
trip\04\01861.wav=When it comes to drinking, I have the simplest tastes.   I'm uh always satisfied with the best.@593388
trip\04\01862.wav=Like they say, everything in moderation --  heh heh, including moderation.@593996
trip\04\01863.wav=Like they say, too much of a good thing  is wonderful.@594500
trip\04\01864.wav=So... drinks...@594812
trip\04\01865.wav=This is great... For us I'm going to open an amazing, I mean, exquisite Bordeaux.  @595160
trip\04\01866.wav=Ah I know... I'm going to open us a magnificent, I mean, astounding Bordeaux.  @595764
trip\04\01867.wav=So... I'm going to open an exquisite Bordeaux...@596280
trip\04\01868.wav=Top of the line, very rare, very difficult to acquire --@596716
trip\04\01869.wav=Best of the best, you can't buy this in stores... Very, very special --@597216
trip\04\01870.wav=I'll take that as a compliment.  @597656
trip\04\01871.wav=what do you say?@597900
trip\04\01872.wav=So... how does a Bordeaux sound?@598104
trip\04\01873.wav=Excellent!  You've got good taste.@598400
trip\04\01874.wav=Perfect!  Ooh, you're going to love this.@598700
trip\04\01875.wav=Oh, but this is a very special bottle of wine...!@599060
trip\04\01876.wav=What? Oh, I, I thought you'd love that...!@599404
trip\04\01877.wav=Oh but we should enjoy ourselves tonight...!@599748
trip\04\01878.wav=No no I really think we should have this wine, trust me, trust me!@600160
trip\04\01879.wav=Oh, come on, let's enjoy ourselves tonight, this wine will be so good.  So good.@600704
trip\04\01880.wav=What...?@601112
trip\04\01881.wav=Oh come on...@601244
trip\04\01882.wav=No, this is a special get-together, I want to open this wine, I'm not going to settle less!@601616
trip\04\01883.wav=What?!@602068
trip\04\01884.wav=How -- how do you -- how do you know about that --@602248
trip\04\01885.wav=What -- you --@602544
trip\04\01886.wav=Yeah, no, we need to open this wine!  Our friend is here, we're going to enjoy ourselves, that's all there is to it!@602960
trip\04\01888.wav=I've been dying to try this Bordeaux for a long time, this is the perfect opportunity --@604304
trip\04\01889.wav=Whoops.@604748
trip\04\01890.wav=Y -- yeah, uh, we need drinks!@604900
trip\04\01891.wav=No, no, uh, w - we need drinks!@605152
trip\04\01892.wav=Uh, well, um, we need drinks!@605408
trip\04\01893.wav=Y - y - yeah, uh, we need more drinks!@605664
trip\04\01894.wav=N - no, no, uh, we need more drinks!@605960
trip\04\01895.wav=Uh, well, uh, we need more drinks!@606244
trip\04\01896.wav=Y -- yeah, uh, I - I'm going to open an exquisite Bordeaux!@606584
trip\04\01897.wav=N -- no, no, heh, I'm going to open an exquisite Bordeaux!@607028
trip\04\01898.wav=W -- well, uh, I'm going to open an exquisite Bordeaux!@607464
trip\04\01899.wav=Oh my God, @607784
trip\04\01900.wav=oh my God, I am so bad...@607960
trip\04\01901.wav=Oh no, @608148
trip\04\01902.wav=I just realized... I'm sorry!  @608320
trip\04\01903.wav=I haven't gotten us drinks!@608592
trip\04\01904.wav=Hey, I know what's missing here...@608832
trip\04\01905.wav=Hey, I -- I know what's uh, what's wrong here...@609120
trip\04\01906.wav=We need another drink!@609448
trip\04\01907.wav=Yes, yes, that's what's missing here...@609692
trip\04\01908.wav=Yes, yes, that's what's wrong here...@610000
trip\04\01909.wav=So, yes, I really need to fix us some drinks.@612476
trip\04\01910.wav=So, yes, I really need to fix us some more drinks.@612868
trip\04\01911.wav=Oh and please, please, I need us to break in my new expensive set of cocktail making accessories.@610464
trip\04\01912.wav=Oh this is good because I just bought these classy new cocktail shakers I need us to try out.@611148
trip\04\01913.wav=Oh it's good because you will be the first to try my recently acquired set of imported drinking glasses.@611860
trip\04\01914.wav=So... drinks...@613164
trip\04\01915.wav=Why don't I make us one of my new drink inventions, @613428
trip\04\01916.wav=I call it Grace's Inner Soul.  @613776
trip\04\01917.wav=It's a mixture of chardonnay, bitters and lots of ice.@614116
trip\04\01918.wav=So... I should make you one of my drink inventions...@614532
trip\04\01919.wav=What?!  So, uhh,@614844
trip\04\01920.wav=how -- how does that sound?@615040
trip\04\01921.wav=So... can I make you one of my drink inventions?@615348
trip\04\01922.wav=Ah, @615620
trip\04\01923.wav=you have  deliciously wicked taste.@615812
trip\04\01924.wav=you are an  adventurous drinker, like me.@616128
trip\04\01925.wav=No?@616376
trip\04\01926.wav=You -- you don't want my invention?@616552
trip\04\01927.wav=No, this is not the way to celebrate our get-together...@616900
trip\04\01928.wav=What?@617212
trip\04\01929.wav=Are you trying to embarrass me?@617380
trip\04\01930.wav=Bullshit!@617604
trip\04\01931.wav=Yeah, no, I'm going to make this drink for us! @617820
trip\04\01932.wav=Our friend is here, we're going to enjoy ourselves, that's all there is to it!@618276
trip\04\01933.wav=Grace, everybody loves my drinks, you know that, don't you?  Everybody!@618828
