grace\01\00009.wav=Adam, @14316
grace\03\01309.wav=Yeah, we really don't need the fancy drinks tonight.@394848
grace\03\01310.wav=As for my drink...@175980
grace\03\01311.wav=Well, actually, I would like a glass of Chardonnay.@176260
grace\03\01312.wav=Yes. A glass of Chardonnay would be nice.@176644
grace\03\01313.wav=Um,  I'd like a simple glass of Chardonnay, thank you.@177016
grace\03\01314.wav=Um,  Just a glass of Chardonnay for me, please.@177424
grace\03\01315.wav=Um... yeah, I'll have the same.@177748
grace\03\01316.wav=Um... that sounds... nice.  I'll have that too.@178044
grace\03\01317.wav=Um, I'll have a glass of merlot too. @178388
grace\03\01318.wav=The merlot sounds fine.@178676
grace\03\01319.wav=I'll just have what you're having.@178920
grace\03\01320.wav=I'm happy to just have what our guest is having.@179248
grace\03\01321.wav=I'm going to join our friend in what he is having.@179632
grace\03\01322.wav=I'm going to join our friend in what she is having.@180028
grace\03\01323.wav=I don't want anything to drink either.@180388
grace\03\01324.wav=I'm not in the mood to drink tonight. @180700
grace\03\01325.wav=I don't feel like drinking tonight.@181004
grace\03\01326.wav=You know, I don't want to drink tonight.@181308
grace\03\01327.wav=Just cranberry juice for me.@181620
grace\03\01328.wav=Just some mineral water for me.@181888
grace\03\01329.wav=I just want a little sparkling water.@182184
grace\03\01330.wav=Nothing for me.@182444
grace\03\01331.wav=I don't want anything.@182636
grace\03\01332.wav=So,@395140
grace\03\01333.wav=I was going to ask you --@395284
grace\03\01334.wav=Oh, I'll get it --@395492
grace\03\01335.wav=Trip, no, I want --@395680
grace\03\01336.wav=No, are you?@395856
grace\03\01337.wav=Oh!@395984
grace\03\01338.wav=Oh, it's your parents!  I'll get it --@396164
grace\03\01339.wav=I want to say hello --@396440
grace\03\01340.wav=Oh, I wanted to say hello --@396664
grace\03\01341.wav=Anyhow, Trip's parents...@396912
grace\03\01342.wav=They're sweet people, really down to earth --@397188
grace\03\01343.wav=So,@397453
grace\03\01344.wav=I was going to ask you --@397596
grace\03\01345.wav=No, no, we have a guest, we can let the answering machine pick it up.@397936
grace\03\01346.wav=Trip, please dear, don't be rude.@398360
grace\03\01347.wav=Why, are you expecting a phone call?@398652
grace\03\01348.wav=No...@398880
grace\03\01349.wav=It's probably just the execs at work inviting you to another one of your precious 'high class poker games'.@399236
grace\03\01350.wav=It's probably just the cleaning service cancelling on us again, it's so hard to find good help these days.@400004
grace\03\01351.wav=What?  Wait, wait, let's just wait for the answering machine...@400640
grace\03\01352.wav=What?  Oh, that's -- hmm, w, wait a second... @401048
grace\03\01353.wav=What?  Oh, God, can we just -- let's just wait for the answering machine...!@401480
grace\03\01355.wav=no!  Please don't do that.@402096
grace\03\01356.wav=Uhh, it's my dad, I can hear his voice.@402364
grace\03\01357.wav=Okay, he's being annoying, as usual... just -- just hang it up.@402744
grace\03\01358.wav=Oh, good, you hung up. I can call him back later, or in a few days, heh.@403228
grace\03\01359.wav=Trip, Trip, please, I don't want to talk to them right now...@403732
grace\03\01360.wav=No no, Trip, we're entertaining a friend in our new apartment...@404208
grace\03\01361.wav=the last thing I want to do is talk to my parents.@404672
grace\03\01362.wav=Uhh, no, they're impossible, they're always expecting me to act like the dutiful daughter, it's so annoying.@405212
grace\03\01363.wav=Uhh, no, they're impossible, they expect me to drive up to the house in Connecticut to attend all their stupid socialite charity benefits and parties, it's so tiresome.@406172
grace\03\01364.wav=Y -- yeah, no, I'll -- I'll call my parents later.@407016
grace\03\01365.wav=N -- no, I'll -- I'll call my parents later.@407380
grace\03\01366.wav=W -- well, no, I'll -- I'll call my parents later.@407732
grace\03\01367.wav=Y -- yeah, yeah, no, talking about my parents is just going to frustrate me. @408180
grace\03\01368.wav=N -- no, no, talking about my parents is just going to frustrate me. @408728
grace\03\01369.wav=W -- well, no, talking about my parents is just going to frustrate me. @409248
grace\03\01370.wav=Oh God, @409624
grace\03\01371.wav=I hope you didn't come here tonight to be entertained...@409868
grace\03\01372.wav=Oh God, @410184
grace\03\01373.wav=this isn't much fun for you, is it?@410392
grace\03\01374.wav=you're not enjoying this are you?@410688
grace\03\01375.wav=Trip, have you noticed, we're fighting in front of our friend.@411040
grace\03\01376.wav=Listen to us, we're arguing in front of our friend.@411500
grace\03\01382.wav=Trip, it's okay if we disagree in front of our friend --@413216
grace\03\01383.wav=Trip, there's nothing wrong with disagreeing in front of our friend --@413684
grace\03\01384.wav=You don't agree?  Okay, well...@414108
grace\03\01385.wav=You don't agree?  Okay, well...@414376
grace\03\01386.wav=W -- well, yeah, we're fighting.@414628
grace\03\01387.wav=N -- no, we're -- we're fighting.@414884
grace\03\01388.wav=W -- well, we're fighting.@415136
grace\03\01389.wav=What?@415328
grace\03\01390.wav=Trip, it's okay if we disagree in front of our friend --@415564
grace\03\01391.wav=Trip, there's nothing wrong with disagreeing in front of our friend --@416024
grace\03\01392.wav=What...?@416400
grace\03\01393.wav=What...?@416528
grace\03\01394.wav=Anyway...@416656
grace\03\01395.wav=Y -- yeah, no, wait, what's wrong, Trip?@416840
grace\03\01396.wav=N -- no, wait, what's wrong, Trip?@417140
grace\03\01397.wav=W -- wait, wait, what's wrong, Trip?@417420
grace\03\01398.wav=Um, Trip, if -- if it's at all convenient, could you --@417772
grace\03\01399.wav=Um, Trip, if -- if you have a second, could you --@418176
grace\03\01400.wav=Um, Trip, if -- if it's not too much trouble, could you --@418580
grace\03\01401.wav=could you switch on the french souffle steamer for me?  Just... @419032
grace\03\01402.wav=Just set it to le pouf.@419444
grace\03\01403.wav=could you turn on the mini biscotti oven for me?  Just...@419760
grace\03\01404.wav=Just set it to bella toasta.@420160
grace\03\01405.wav=could you brush some truffle butter on the crostini?  @420476
grace\03\01406.wav=It's all in the fridge... just be careful with the truffle butter this time...@420956
grace\03\01407.wav=Could you do that for me?@421412
grace\03\01408.wav=Would you do that for me?@421656
grace\03\01409.wav=I always try to make the hors doeurves preparation a joint effort.@421984
grace\03\01410.wav=Bubble, bubble, oil and truffles...@422408
grace\03\01411.wav=Trip loves to push buttons.@422696
grace\03\01412.wav=You have to it manually, I lost the remote.@422992
grace\03\01413.wav=Oh, God... @423256
grace\03\01414.wav=Oh, goodness... @423404
grace\03\01415.wav=I hope you don't interpret... this... somehow... ha...@423644
grace\03\01416.wav=Don't get the wrong idea, okay... Trip is... we... hum...@424056
grace\03\01417.wav=I wouldn't want you to think... Trip... or we...  hhh hum...@424476
grace\03\01418.wav=It's not like this kind of thing... happens...  ha...@424904
grace\03\01419.wav=You know, Trip has been a little... mmm... mmm... overbearing lately... this happens when he's stressed out about something...@425452
grace\03\01420.wav=You know, if he'd just ask me what I really feel, then... but that's not what we talk about.@426260
grace\03\01421.wav=I guess I've been feeling sort of... mmm... squeezed lately... between... work... and Trip... and Trip's attitudes, and...@426968
grace\03\01422.wav=You know, lately Trip keeps telling me how I won't ever be happy in this apartment... as if I'm some sort of spoiled child...@427836
grace\03\01423.wav=You know, the thing is, what I really feel, is that I just... want something that I can give my all... something that I can care about...@428720
grace\03\01424.wav=It's not like we're pretending everything's fine, or anything... in a way, things are perfectly fine...@429576
grace\03\01425.wav=You know, I don't know where he gets it, but Trip is so obsessed with what you and everybody thinks about us, how much do they like us...@430388
grace\03\01426.wav=You know he's always been... charismatic... and attractive... everybody likes him... it's always been like that...@431284
grace\03\01427.wav=You know you don't have to tell me that things aren't perfect... I mean, you can't tell me that every marriage is perfect...@432104
grace\03\01428.wav=I mean, I'm very very aware that things aren't... mmm... perfect... I mean I've never... I mean, even from the start, we... mmm... had...@432968
grace\03\01429.wav=Yes, Trip?@433616
grace\03\01430.wav=Yes, what?@433764
grace\03\01431.wav=Yes, yes, what is it?@433932
grace\03\01432.wav=uhh...@434096
grace\03\01433.wav=Wait, @434208
grace\03\01434.wav=where -- where are you going?@434360
grace\03\01435.wav=No, it's okay, it's nobody's fault... these days everything just feels like one miscommunication after another...@434852
grace\03\01436.wav=Yeah... sometimes I feel everything these days is just one damn miscommunication after another...@435636
grace\03\01437.wav=Uhh, God, why does every conversation I have these days turn into a series of pathetic miscommunications...@436392
grace\03\01438.wav=Oh... that's nice of you... you know, this -- this is all just another miscommunication, I think... @437128
grace\03\01439.wav=I... I can't... how...@437632
grace\03\01440.wav=what... I... I... how...@437820
grace\03\01441.wav=I... there isn't... how...@438032
grace\03\01442.wav=Trip is right in the other room!@438296
grace\03\01443.wav=Trip could come back any second!@438600
grace\03\01444.wav=Trip might be able to hear you!@438892
grace\03\01445.wav=Oh, well, that... uh...@439124
grace\03\01446.wav=um...@439300
grace\03\01447.wav=wha... you... uh...@439416
grace\03\01448.wav=Um... well... uh....@439592
grace\03\01449.wav=Tr -- Trip, dear, is the souffle rising?@439828
grace\03\01450.wav=Is the souffle rising?@440120
grace\03\01451.wav=Tr -- duh Trip, dear, did you start the mini biscotti?@440416
grace\03\01452.wav=Did you start the mini biscotti?@440808
grace\03\01453.wav=Tr -- Trip, dear, did you find the truffle butter?@441120
grace\03\01454.wav=Did you find the truffle butter?@441480
grace\03\01455.wav=Never mind!  Heh heh huh   @441724
grace\03\01456.wav=I swear to god, Trip has a hearing problem.@442020
grace\03\01457.wav=I really think I need to get him tested.@442364
grace\03\01458.wav=You know, Trip tells me he's a good listener, but I swear, heh even when he does manage to hear what I'm saying,@442868
grace\03\01459.wav=he forgets everything I tell him.@443460
grace\03\01460.wav=uh...@443672
grace\03\01461.wav=Jesus, what was that?@443824
grace\03\01462.wav=Trip, what happened?@444028
grace\03\01463.wav=What happened?@444216
grace\03\01464.wav=That's alright, we received four of those at our wedding.@444488
grace\03\01465.wav=That's alright, I was getting of really tired of that piece anyway.@444960
grace\03\01466.wav=Trip's like a bull in a china shop when he's angry.@445432
grace\03\01467.wav=Uhh!  You... wha... ah...@445736
grace\03\01468.wav=Uhh!  You... wha... ah...@445936
grace\03\01469.wav=Trip?@446124
grace\03\01470.wav=Trip?@446232
grace\03\01471.wav=Trip, are you there?@446368
grace\03\01472.wav=What?@446536
grace\03\01473.wav=I can't hear you.@446668
grace\03\01474.wav=Argh!@446824
grace\03\01475.wav=What?@446932
grace\03\01476.wav=Nothing, it was just the french souffle steamer falling into the sink!@447192
grace\03\01477.wav=Nothing, it was just the pastry dough blender falling off the shelf!@447708
grace\03\01478.wav=Nothing, it was just the mini biscotti oven falling onto the floor!@448236
grace\03\01479.wav=Nothing, it was just the tropical fruit seed extractor falling over!@448752
grace\03\01480.wav=So, what have you two been talking about in here?!@449212
grace\03\01481.wav=Who?@449492
grace\03\01482.wav=you've been telling Trip about interesting women at your work?@449744
grace\03\01483.wav=I'll take that as a yes!@450124
grace\03\01484.wav=Fresh?@450308
grace\03\01485.wav=Trip, if you want to invite fresh young women to our parties, you do that.  Don't let me stop you.@450652
grace\03\01486.wav=Alright...@451140
grace\03\01487.wav=Well, I thought of making some marscapone-cheese baked-polenta triangles,@451452
grace\03\01488.wav=but we're out of organic sea salt, so... @451936
grace\03\01489.wav=God!  What have you two been talking about in here?@452284
grace\03\01490.wav=Maybe I should have stayed in the kitchen.@452656
grace\03\01491.wav=it's not that I don't have feelings for you... mmm... you've been a friend for a long time...@453096
grace\03\01492.wav=I'm... mmm... you've been a good friend for a long time, and I...@453672
grace\03\01493.wav=I don't know what to think... mmm... we've been friends for a long time...@454156
grace\03\01494.wav=you've been a good friend for a long time, I don't understand what... @454688
grace\03\01495.wav=this all confusing, because you've been a good friend for a long time...@455212
grace\03\01496.wav=what I really just need right now... is for you to just be my friend...@455748
grace\03\01497.wav=what I just want tonight, if you can... is to just be my friend...@456276
grace\03\01498.wav=What?@456628
grace\03\01499.wav=Brie.  We don't have any brie.@456784
grace\03\01500.wav=I'm sorry, I forgot.@457032
grace\04\01501.wav=Look, I'm sorry I forgot the goddamn brie, alright?@457312
grace\04\01502.wav=What?@457604
grace\04\01503.wav=No, Trip, no, everything's fine, we didn't talk about anything.@457860
grace\04\01504.wav=No, Trip, no, everything's fine, our friend is just teasing...@458332
grace\04\01505.wav=I didn't want this to happen tonight...@458764
grace\04\01506.wav=Why does this have to happen tonight...@459088
grace\04\01507.wav=God, I didn't want this to happen tonight...@459440
grace\04\01508.wav=God, why does this have to happen tonight...@459796
grace\04\01509.wav=What?  Oh...  @460064
grace\04\01510.wav=I...@460200
grace\04\01511.wav=What?  Oh...  @460308
grace\04\01512.wav=I...@460444
grace\04\01513.wav=I'm sorry about... you were just trying to be nice... @460652
grace\04\01514.wav=I'm sorry about... you probably meant well... @461052
grace\04\01515.wav=I guess it just got to me or something.@461408
grace\04\01516.wav=it just bugged me for some reason.@461732
grace\04\01517.wav=Look, maybe you should just go back to the living room... uhh...@462084
grace\04\01518.wav=Look, just let me be alone for a minute... @462532
grace\04\01519.wav=Look, just give me a minute, I'll be alright, everything's fine... @462932
grace\04\01520.wav=Look, what you've said, tonight, I know what you're getting at...@463412
grace\04\01521.wav=Look, the things you've said tonight, I know what you're trying to say...@463896
grace\04\01522.wav=that Trip has been... overbearing, and... difficult, and...@464404
grace\04\01523.wav=that if he'd just ask me what I really feel, then... but that's not what we talk about...@464940
grace\04\01524.wav=that I'm... that I've been... squeezed... between work, and Trip... and Trip's opinions...@465580
grace\04\01525.wav=that Trip thinks I can't be happy in this apartment... that he thinks I'm some sort of spoiled child...@466272
grace\04\01526.wav=I mean if anyone just looks, they can see, that I just... want something that I can... give... that I can care about...@467048
grace\04\01527.wav=that we... Trip and I... we aren't... we can't...@467716
grace\04\01528.wav=that Trip is so obsessed with what you and everybody thinks about us... if they still like us...@468228
grace\04\01529.wav=I mean he's always been... charismatic... and attractive... everybody likes him... it's always been like that...@468960
grace\04\01530.wav=I mean, you don't have to tell me that things aren't perfect... I mean, you can't tell me that every marriage is perfect...@469772
grace\04\01531.wav=I mean, I'm very very aware that things aren't perfect... I mean I've never... I mean, even from the start, we... had...@470616
grace\04\01532.wav=Nothing, Trip, nothing!@471224
grace\04\01533.wav=Nothing!  I'm coming!@471440
grace\04\01534.wav=Look, let's just go back.  @471672
grace\04\01535.wav=Everything's fine, Trip,  everything's fine.@471940
grace\04\01536.wav=Uhh, God, this is making me feel really stressed right now.  Can we just go back to the living room?@473576
grace\04\01537.wav=Uhh, God, this is too much at once, I just want to go back to the living room, okay?@474252
grace\04\01538.wav=You came in here to tell me this?  Uhh...@474752
grace\04\01539.wav=Is this why you came in here, to tell me this?@475104
grace\04\01540.wav=I can't... @472212
grace\04\01541.wav=I'm... @472340
grace\04\01542.wav=I'm going back to the living room.@472520
grace\04\01543.wav=we can't...  @472756
grace\04\01544.wav=I'm... @472892
grace\04\01545.wav=I -- I'm going to go back to the living room.@473092
grace\04\01546.wav=Alright, alright, everything's fine, let's just, let's just go back to the living room...@475568
grace\04\01547.wav=Everything's fine...@476036
grace\04\01548.wav=Trip, what are you saying in there?@476264
grace\04\01549.wav=What?@476492
grace\04\01550.wav=Yes, I know, everything's fine.@476664
grace\04\01551.wav=Yes, I know, everything's fine.@476940
grace\04\01552.wav=Yeah...@477148
grace\04\01553.wav=You know, ever since we got married, I can't help it, I'm forever buying new furniture and redecorating,@477496
grace\04\01554.wav=I -- I really enjoy it --@478044
grace\04\01555.wav=So I normally like redecorating...@478304
grace\04\01556.wav=now be honest with me, agree that this room just does not work! @478676
grace\04\01557.wav=Right... @479020
grace\04\01558.wav=Right... So anyway... @479172
grace\04\01559.wav=So, about my decorating...@479392
grace\04\01560.wav=All day at work I design ads for apartments like this,@479732
grace\04\01561.wav=and then I think, I want this style for my apartment --@480172
grace\04\01562.wav=Yeah I just had to have this style...@480548
grace\04\01563.wav=So I just had to have this style...@480852
grace\04\01564.wav=but... I'm wrong, it is just not coming together at all!@481204
grace\04\01565.wav=All day at work I design ads for stylish objects, like this couch, @481688
grace\04\01566.wav=and then I think, I want to design it into my apartment --@482192
grace\04\01567.wav=Yeah I just had to have this couch...@482576
grace\04\01568.wav=So I just had to have this couch...@482876
grace\04\01569.wav=but... I'm wrong, I should have chosen a modest, simple love seat.@483252
grace\04\01570.wav=All day at work I design ads for stylish objects, like this armoire, @483768
grace\04\01571.wav=Yeah I just had to have this armoire...@484196
grace\04\01572.wav=So I just had to have this armoire...@484504
grace\04\01573.wav=but... I don't know what I was thinking, this is a monstrosity!@484884
grace\04\01574.wav=All day at work I design ads for decorative objects, like these sculptures, @485416
grace\04\01575.wav=and then I think, I want to design them into my apartment --@485952
grace\04\01576.wav=Yeah I just had to have these sculptures...@486360
grace\04\01577.wav=So I just had to have these sculptures...@486700
grace\04\01578.wav=but... now I can't take the sight of them!  They're revolting!@487080
grace\04\01579.wav=All day at work I design ads for stylish objects, like these picture perfect wedding pictures...@487648
grace\04\01580.wav=Yeah, we put up this wedding picture...@488188
grace\04\01581.wav=So we put up this wedding picture...@488500
grace\04\01582.wav=but... it simply does not go in this room -- it never did.@488864
grace\04\01583.wav=All day at work I design ads for stylish objects, like these paintings, @489368
grace\04\01584.wav=Yeah I just had to have these paintings...@489820
grace\04\01585.wav=So I just had to have these paintings...@490152
grace\04\01586.wav=but... no, I'm wrong, these look completely amateurish and gauche.@490536
grace\04\01587.wav=All day at work I design ads for apartments with extravagant views like this, @491108
grace\04\01588.wav=Yeah I just had to have this view...@491572
grace\04\01589.wav=So I just had to have this view...@491868
grace\04\01590.wav=but... I'm wrong, I simply want a view of trees and green!@492220
grace\04\01591.wav=All day at work I design ads for the kind of objects in this apartment, @492740
grace\04\01592.wav=Yeah I just had to have this furniture...@493184
grace\04\01593.wav=So I just had to have this furniture...@493504
grace\04\01594.wav=but... I'm wrong, these things simply do not go together at all!@493884
grace\04\01595.wav=I could never do this, but sometimes I want to start fresh and paint free form all over the walls with a big messy brush... @494524
grace\04\01596.wav=I'm sure I can return most of this, and try to start over again on this room...@495296
grace\04\01597.wav=No, he is just being courteous... this room is not --@495808
grace\04\01598.wav=No, she is just being courteous... this room is not --@496220
grace\04\01599.wav=You know, Trip, if you hadn't convinced me to go into advertising, I could have painted that painting on the wall instead of buying it!@496853
grace\04\01601.wav=Yeah.  Anyway...@498012
grace\04\01602.wav=Ah, thank you, I knew you'd give me an honest answer --@498276
grace\04\01603.wav=Does it ever occur to you, Trip, if you hadn't convinced me to go into advertising, I could have painted that painting on the wall instead of buying it!@498948
grace\04\01604.wav=Anyhow, @499648
grace\04\01605.wav=thank you for your honesty.@499824
grace\04\01606.wav=Really?@500024
grace\04\01607.wav=Trip, I don't care what you say, this room isn't working... @500256
grace\04\01608.wav=Decorating is just not what I should --@500668
grace\04\01609.wav=Uhh, if we talk about my decorating anymore I'm going to go crazy.@501056
grace\04\01610.wav=Oh, yeah, well -- I want to ask you...@501468
grace\04\01611.wav=Oh, yeah ... I, uh, I want to ask you...@501764
grace\04\01612.wav=Oh, um, well... I want to ask you... @502072
grace\04\01613.wav=Uh, but this room is a problem, isn't it?@513708
grace\04\01614.wav=Uh, no, this room is a problem, isn't it?@514044
grace\04\01615.wav=Oh, well...@502312
grace\04\01616.wav=Oh, uh...@502440
grace\04\01617.wav=Oh, well...@502568
grace\04\01618.wav=Uh, yes, but this room is a problem, isn't it?@502800
grace\04\01619.wav=Uh, no, this room is a problem, isn't it?@503156
grace\04\01620.wav=Uh, well, this room is a problem, isn't it?@503496
grace\04\01621.wav=Uh, yes, but this couch is too much, isn't it?@503852
grace\04\01622.wav=Uh, no, this couch is too much, isn't it?@504204
grace\04\01623.wav=Uh, well, this couch is too much, isn't it?@504540
grace\04\01624.wav=Uh, yes, but this armoire is awful, isn't it?@504892
grace\04\01625.wav=Uh, no, this armoire is awful, isn't it?@505236
grace\04\01626.wav=Uh, well, this armoire is awful, isn't it?@505564
grace\04\01627.wav=Uh, yes, but these sculptures are an eyesore, aren't they?@505936
grace\04\01628.wav=Uh, no, these sculptures are an eyesore, aren't they?@506356
grace\04\01629.wav=Uh, well, these sculptures are an eyesore, aren't they?@506760
grace\04\01630.wav=Uh, yes, but it doesn't go in this room, right?@507168
grace\04\01631.wav=Uh, no, it doesn't go in this room, right?@507528
grace\04\01632.wav=Uh, well, it doesn't go in this room, right?@507872
grace\04\01633.wav=Uh, yes, but it looks a bit unattractive, doesn't it?@508260
grace\04\01634.wav=Uh, no, it looks a bit unattractive, doesn't it?@508668
grace\04\01635.wav=Uh, well, it looks a bit unattractive, doesn't it?@509060
grace\04\01636.wav=Uh, yes, but a view of trees would be better, right?@509444
grace\04\01637.wav=Uh, no, a view of trees would be better, right?@509820
grace\04\01638.wav=Uh, well, a view of trees would be better, right?@510180
grace\04\01639.wav=Uh, yes, but it doesn't match, right?@510536
grace\04\01640.wav=Uh, no, it doesn't match, right?@510828
grace\04\01641.wav=Uh, well, it doesn't match, right?@511104
grace\04\01642.wav=Yeah -- no -- I could have painted that painting instead of buying it, heh!@511468
grace\04\01643.wav=No -- see -- I could have painted that painting instead of buying it!@511992
grace\04\01644.wav=Wait -- see -- I could have painted that painting instead of buying it!@512496
grace\04\01645.wav=Yes, no, you're being honest.@512920
grace\04\01646.wav=No, no, you're being honest.@513172
grace\04\01647.wav=Hey, no, you're being honest.@513416
grace\04\01648.wav=Yeah...@514292
grace\04\01649.wav=You know, ever since we got married, Trip is forever trying to get me to buy new furniture, and redecorate, @514652
grace\04\01650.wav=and -- and it's true, I kind of enjoy it but...@515284
grace\04\01651.wav=So I normally like redecorating...@515632
grace\04\01652.wav=But, @515856
grace\04\01653.wav=you have to look at this room, and admit it looks terrible.@516112
grace\04\01654.wav=I mean, look around, this room is... it's hideous!@516532
grace\04\01655.wav=Right... @516820
grace\04\01656.wav=Right... So anyway... @516972
grace\04\01657.wav=So, about my decorating...@517192
grace\04\01658.wav=You know at work I waste all day designing ads for apartments like this, @517576
grace\04\01659.wav=and then it makes me think, I want this style for my apartment...@518120
grace\04\01660.wav=Yeah I just had to have this damn style...@518548
grace\04\01661.wav=So I just had to have this style...@518872
grace\04\01662.wav=but... dammit, I'm wrong, it is just not coming together at all!@519252
grace\04\01663.wav=At work I waste all day designing ads for stylish objects, like this couch, @519796
grace\04\01664.wav=and then it makes me think, I want to design it into my apartment...@520364
grace\04\01665.wav=Yeah I just had to have this damn couch...@520800
grace\04\01666.wav=So I just had to have this couch...@521120
grace\04\01667.wav=but, dammit, it's wrong, it's all wrong, I should have chosen a modest, simple love seat!@521560
grace\04\01668.wav=You know at work I waste all day designing ads for stylish objects, like this armoire, @522220
grace\04\01669.wav=Yeah I just had to have this damn armoire...@522732
grace\04\01670.wav=So I just had to have this armoire...@523060
grace\04\01671.wav=but... dammit, I don't know what I was thinking, this is a monstrosity!@523468
grace\04\01672.wav=You know at work I waste all day designing ads for decorative objects, like these sculptures, @524076
grace\04\01673.wav=and then it makes me think, I want to design them into my apartment...@524720
grace\04\01674.wav=Yeah I just had to have these damn sculptures...@525180
grace\04\01675.wav=So I just had to have these sculptures...@525540
grace\04\01676.wav=but... dammit, now I can't take the sight of them!  They're revolting!@525948
grace\04\01677.wav=You know at work I waste all day designing ads for stylish objects, like this picture perfect wedding picture...@526588
grace\04\01678.wav=Yeah, we put up this damn wedding picture...@527204
grace\04\01679.wav=So we put up this wedding picture...@527536
grace\04\01680.wav=but... dammit, it simply does not go in this room -- it never did!@527928
grace\04\01681.wav=You know at work I waste all day designing ads for stylish objects, like these paintings, @528508
grace\04\01682.wav=Yeah I just had to have these damn paintings...@529044
grace\04\01683.wav=So I just had to have these paintings...@529396
grace\04\01684.wav=but... dammit, no, I'm wrong, these look completely amateurish and tacky!@529812
grace\04\01685.wav=You know at work I waste all day designing ads for apartments with perfect views like this, @530424
grace\04\01686.wav=Yeah I just had to have this damn view...@530956
grace\04\01687.wav=So I just had to have this view...@531272
grace\04\01688.wav=but... dammit, I'm wrong, I simply want a view of trees and green!@531652
grace\04\01689.wav=You know at work I waste all day designing ads for the kind of objects in this apartment, @532248
grace\04\01690.wav=Yeah I just had to have this damn furniture...@532776
grace\04\01691.wav=So I just had to have this furniture...@533116
grace\04\01692.wav=but... dammit, I'm wrong, these things simply do not go together at all!@533524
grace\04\01693.wav=I want to throw it all out, get rid of everything, and throw paint all over the walls... @534100
grace\04\01694.wav=Yeah...@534540
grace\04\01695.wav=I bet I can return most of this, and start over again on this room...@534816
grace\04\01696.wav=No, decorating is just -- @535232
grace\04\01697.wav=There must be some way I could --@535492
grace\04\01698.wav=I don't know what to think. I don't know.@535784
grace\04\01699.wav=Ah, what a nice surprise, an honest answer!@536120
grace\04\01700.wav=Uhh, if we talk about my decorating anymore I'm going to go crazy.@536524
grace\04\01701.wav=You know, Trip, do you realize that if you hadn't convinced me to go into advertising, @537084
grace\04\01702.wav=I could have painted that painting on the wall instead of buying it!@537676
grace\04\01703.wav=Anyhow, @538040
grace\04\01704.wav=thank you for your honest opinion.@538240
grace\04\01705.wav=What?@538464
grace\04\01706.wav=But, uhh, no, decorating is not... not...@538648
grace\04\01707.wav=Oh, yeah, well -- I want to ask you...@538960
grace\04\01708.wav=Oh, what? ... I, uh, I want to ask you...@539260
grace\04\01709.wav=Oh, um, well... I want to ask you... @539572
grace\04\01710.wav=Oh, but this room is a complete mess!@539884
grace\04\01711.wav=No, this room is a complete mess!@540188
grace\04\01712.wav=Oh, well...@540412
grace\04\01713.wav=Oh, uh...@540540
grace\04\01714.wav=Oh, well...@540668
grace\04\01715.wav=Uh, yes, but this room is a complete mess, isn't it?@540916
grace\04\01716.wav=Uh, no, this room is a complete mess, isn't it?@541312
grace\04\01717.wav=Uh, well, this room is a complete mess, isn't it?@541692
grace\04\01718.wav=Uh, yes, but this couch is just awful, isn't it?@542084
grace\04\01719.wav=Uh, no, this couch is just awful, isn't it?@542456
grace\04\01720.wav=Uh, well, this couch is just awful, isn't it?@542812
grace\04\01721.wav=Uh, yes, but this such armoire is such a monstrosity, isn't it?@543224
grace\04\01722.wav=Uh, no, this such armoire is such a monstrosity, isn't it?@543692
grace\04\01723.wav=Uh, well, this such armoire is such a monstrosity, isn't it?@544144
grace\04\01724.wav=Uh, yes, but these sculptures are just awful, aren't they?@544596
grace\04\01725.wav=Uh, no, these sculptures are just awful, aren't they?@545024
grace\04\01726.wav=Uh, well, these sculptures are just awful, aren't they?@545436
grace\04\01727.wav=Uh, yes, but it just doesn't go in this room, right?@545860
grace\04\01728.wav=Uh, no, it just doesn't go in this room, right?@546256
grace\04\01729.wav=Uh, well, it just doesn't go in this room, right?@546636
grace\04\01730.wav=Uh, yes, but it looks so amateurish, doesn't it?@547024
grace\04\01731.wav=Uh, no, it looks so amateurish, doesn't it?@547392
grace\04\01732.wav=Uh, well, it looks so amateurish, doesn't it?@547744
grace\04\01733.wav=Uh, yes, but a view of trees would be better, right?@548108
grace\04\01734.wav=Uh, no, a view of trees would be better, right?@548484
grace\04\01735.wav=Uh, well, a view of trees would be better, right?@548844
grace\04\01736.wav=Uh, yes, but it just doesn't match, right?@549216
grace\04\01737.wav=Uh, no, it just doesn't match, right?@549544
grace\04\01738.wav=Uh, well, it just doesn't match, right?@549856
grace\04\01739.wav=Trip, maybe our friend would prefer --@550164
grace\04\01740.wav=Why did I allow you to put that up...@550476
grace\04\01741.wav=This is your idea of an enjoyable evening with friends?@550844
grace\04\01742.wav=come over here and sit on the couch with me.@551248
grace\04\01743.wav=Oh, please, Trip, don't put our friend on the spot like that.@551644
grace\04\01744.wav=come over here, you'll be more comfortable --@552068
grace\04\01745.wav=How about oppressive.@552368
grace\04\01746.wav=How about suffocating.@552580
grace\04\01747.wav=Yeah, that's a fine answer, I like that...!@552832
grace\04\01748.wav=Trip, I don't know what kind of --@553156
grace\04\01749.wav=What?  @553380
grace\04\01750.wav=Trip is absolutely exaggerating, it was simply a weekend getaway, that's all. @553696
grace\04\01751.wav=it was simply a weekend getaway, that's all.@554208
grace\04\01752.wav=I liked your answer better.@554516
grace\04\01753.wav=What is it with you and your obsession with Europe?  You take enough goddamn business trips there as it is!@554992
